Genus	ES_Bact	ES_Bifi	ES_Esch	ES_Prev	ES_Firm
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	0	0.03249693554681039	1.293543502305434e-4	0	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E	0.01349155486362161	7.665763847535422e-6	0	0.051863697195966604	1.8905726384089605
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS403	2.6151428550076644e-4	0	0	0	0.024386702608789872
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-964	0	0	0	0.0014279896537513468	0.010260975451837863
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;GCA-900066995	2.762609938325153e-5	0	0	0.0015109705180788877	0.1452712000959386
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Clostridium_A	0.010529091726624114	0	0	1.4071096757873253e-6	0.020876007875944326
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;CAG-557	0	0	0	0.03227892827168251	2.4392828663502567e-8
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Caproiciproducens	0	0.0052372488486793845	0	0	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Anaeromassilibacillus	1.6559835810304927e-6	1.8414673290031545e-9	0	1.1598408317557201e-8	0.0011036062286786147
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;An200	4.212624121588339e-6	9.157177455098764e-15	0	0	0.001158734370727414
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Clostridium_E	0	0.012898354447363331	0	0	0
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Acutalibacter	2.0504487436695854e-4	0	0	2.411244906826867e-12	0.01481403473805065
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_H	8.649053589044568e-4	0	0	0.005397062840812022	0.19124015394766056
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UBA5905	1.1224471775319802e-11	0	0	2.378460719946877e-4	7.999984121054141e-4
Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Acutalibacteraceae;UMGS856	9.91655001305195e-5	0	0	2.897513292846786e-6	0.004461685199297733
